Company Name,Orbit,Challenge Area,Industry,Business Model,Website,Featured,Description,Investors,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
BlueLine Grid,Core,Government,Public Safety,B2G,http://www.bluelinegrid.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boosted Boards,Safety,Mobility & Logistics,mobility,,http://boostedboards.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrego Solar Systems,Assurance,Resources,cleantech|energy|solar power,B2B,http://borregosolar.com,,"Borrego Solar Systems, Inc. is a solar photovoltaic energy financing and contracting company specializing in commercial and governmental grid-connected turnkey electric systems.",,168,62,49,64,https://mattermark.com/app/data/15931/borrego-solar-systems,No,,,,,165,165,0,0,143,22,15,2451,2211,11,1836,33,,,,,,,415,,,,,0,0,,37,54,-31,598,591,1,568,5,22,16,38,21,21,0,3570,3537,1,3433,4,1/1/1980,A,44000000,8/3/2009,30000000,san diego,san diego,san diego,CA,usa,NA,No,75,627,47846.89
BRCK,Assurance,Built Environment,communications equipment|hardware|internet of things|telecommunications,B2C|B2B,http://brck.com,,The Rugged Wi-Fi Hotspot (that works in Africa),Invested Development,357,15,233,44,https://mattermark.com/app/data/208672/brck,Yes,600000,,75000,consumer electronics,21,19,2,11,,,,8221,8625,-5,7387,11,,,,,,,3848,,,,,52,36,44,179,433,-59,1149,1142,1,1101,4,14,14,0,19,50,-62,62,60,3,55,13,1/1/2013,Pre Series A,1200000,7/8/2014,1200000,nairobi,nairobi,,,ken,AF,No,16,58,20689.66
Breather,Assurance,Built Environment,hospitality|mobile|real estate,B2C,http://breather.com,,Breather is a network of beautiful city spaces that you can unlock at any time.,Structure Capital|Valar Ventures|Real Ventures|RRE Ventures|Vayner RSE (RSE Ventures)|Real Ventures|SOSventures|Real Ventures|Jay Baer|Steve Garfield|John Stokes|Loic Le Meur|Gary Vaynerchuk|Dave McClure|Lisa Gansky|Mike Walsh|Zachary Aarons,914,14,628,87,https://mattermark.com/app/data/145731/breather,No,,,,collaborative consumption,58,53,5,9,37,21,57,227925,228433,0,233827,-3,,,,12256,,0,9922,,,,,82,141,-42,415,530,-22,14560,14420,1,14062,4,136,131,4,133,243,-45,966,949,2,905,7,1/1/2012,A,27500000,9/17/2015,20000000,montreal,montreal,,QC,can,NA,Yes,1,14,1428571.43
Bridj,Safety,Mobility & Logistics,transportation,B2C|B2B,http://bridj.com,,"Bridj is the world's first pop-up mass transit system. Using millions of 
data points, we figure out how the city moves, then deploy dynamic 
transportation networks to help you get where you need to go.",Atlas Venture|Jill Preotle|NextView Ventures|FreshTracks Capital|Suffolk Equity Partners,26,2,11,-407,https://mattermark.com/app/data/10007639/,No,,,,collisionconf2015,23,22,1,5,22,1,5,2208,2475,-11,3256,-32,,91,,91,,0,3456,,,,,,,,,,,,,,,,,,,,,,259,255,2,245,6,,A,4000000,1/14/2015,0,boston,cambridge,boston,MA,usa,NA,Yes,9,7,0
Bright,Assurance,Resources,cleantech|energy,B2C,http://thinkbright.mx,,"Bright's aim is to install solar panels on Mexican roofs under a subscription program, where homeowners get panels for free but pay for use.",Max Levchin|Patrick Collison|First Round Capital|Felicis Ventures,577,6,416,24,https://mattermark.com/app/data/10976215/,No,,,,,16,12,4,33,,,,4297,3848,12,2428,77,,,,,,,232,,,,,,,,,,,3392,3372,1,2624,29,1121,1165,-4,1530,1468,4,,,,,,1/1/2014,Pre Series A,4000000,8/4/2015,4000000,mexico city,mexico city,,,mex,NA,No,3,10,400000
BrightFarms,Assurance,Resources,agriculture|e-commerce,,http://brightfarms.com,,"We finance, design, build and operate greenhouse farms at or near supermarkets. Our quest is to bring commercial scale urban agriculture to the market, take our farms and the industry to the next level, and change the way we eat as a society.",Indiegogo|WP Global Partners|NGEN Partners|Emil Capital Partners|Ted Caplow|NGEN Partners|Emil Capital Partners|WP Global Partners|NGEN Partners|Emil Capital Partners|Ted Caplow|Ted Caplow|Emil Capital Partners|NGEN Partners,60,0,55,0,https://mattermark.com/app/data/78457/,No,,,,,13,12,1,8,13,0,0,304,290,5,287,6,,,,,,,4284,,,,,12,7,71,48,48,0,20339,20322,0,20150,1,148,155,-5,674,724,-7,424,408,4,397,7,,B,25250000,11/6/2015,13650000,new york,new york,new york,NY,usa,NA,No,0,,0
Building Robotics,Assurance,Resources,cleantech|enterprise software|internet of things|mobile,B2B,http://buildingrobotics.com,,Building Robotics is a software company providing office workers a method of controlling the temperature at their office work stations.,Navitas Capital|Claremont Creek Ventures|Formation 8|Google Ventures|Red Swan Ventures|Navitas Capital|Dave Eisenberg|Jeff Hammerbacher|Travis Putnam|Claremont Creek Ventures|The Westly Group,196,10,158,13,https://mattermark.com/app/data/214001/building-robotics,No,,,,big data|internet of things|sustainability,21,21,0,0,15,6,40,304,428,-29,413,-26,,,,,,,841,,,,,0,1,-100,9,22,-59,362,356,2,352,3,3,4,-25,17,14,21,173,170,2,159,9,1/1/2012,A,6640000,10/3/2014,5500000,bay area,oakland,bay area,CA,usa,NA,No,13,60,91666.67
"Buzzcar, Inc.",Safety,Mobility & Logistics,Mobility,B2C,http://www.buzzcar.com/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buzzcar.com,Safety,Mobility & Logistics,transportation,,http://buzzcar.com,,"Peer-to-peer car rental with insurance. More than 75000 members and 7800 cars to rent your car or rent a car at low price, anywhere in France.",,-222,,-222,0,https://mattermark.com/app/data/10827500/,No,,,,,4,,,,,,,7,12,-42,17,-59,,,,,,,1617,,,,,,,,,,,,,,,,,,,,,,132,131,1,128,3,1/1/2011,Exited (acquired),,,,,,,,,,No,,,
C3 Energy,Assurance,Resources,analytics|energy|internet of things,B2B|SaaS,http://c3energy.com,,,InterWest Partners,377,69,215,366,https://mattermark.com/app/data/30025/c3,No,,,,,127,129,-2,-2,125,2,2,3050,3281,-7,3353,-9,,,,,,,700,,,,,5,5,0,42,8,425,233,232,0,227,3,2,,,1,,,2513,2498,1,2418,4,1/1/2009,C,15000000,5/29/2013,15000000,bay area,redwood city,bay area,CA,usa,NA,No,29,1184,12668.92
ca biotics,Assurance,Resources,Connectivity,B2B,Http://ca-botics.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caarbon,Safety,Mobility & Logistics,automotive|e-commerce|mobile|transportation,B2C,http://caarbon.com,,Caarbon is building a smartphone app for on-demand valet parking.,Maveron|Tandem Capital|Expansion Venture Capital,47,,47,-168,https://mattermark.com/app/data/308832/,No,,,,collaborative consumption|logistics,11,11,0,0,,,,166,165,1,92,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,6,,,1/1/2014,Pre Series A,0,,,,,,,,,No,,,
Cabify,Safety,Mobility & Logistics,transportation,B2C,http://cabify.com,,"Available in Madrid, Barcelona, Bilbao, Malaga, Coruna, Santiago, Lima and Mexico City. Let Cabify manage your airport transfers or any other journeys. Our quality standard is way above what you would expect from a taxi. Download our smartphone App or order via this website.",Rakuten|Seaya Ventures|Seaya Ventures|Emerge,174,-1,174,642,https://mattermark.com/app/data/98364/,No,,,,location based services (lbs),10,10,0,0,5,5,100,48828,42293,15,35441,38,,,,,,,172,,,,,72,157,-54,419,571,-27,133900,132159,1,5580,2300,427,899,-53,783,610,28,46,46,0,42,10,1/1/2011,B,24000000,10/12/2015,12000000,madrid,madrid,,,esp,EU,No,0,0,0
CalStar Products,Assurance,Resources,cleantech|energy,B2B,http://calstarproducts.com,,"The beauty and performance of traditional masonry, with a dramatically reduced environmental footprint and lower cost.",Foundation Capital|EnerTech Capital|EnerTech Capital|Foundation Capital|Nth Power|The Westly Group,102,4,95,-1,https://mattermark.com/app/data/23206/,No,,,,architecture,32,31,1,3,33,-1,-3,217,276,-21,782,-72,,,,,,,471,,,,,0,0,,0,5,-100,4559,4565,0,4568,0,6,6,0,5,9,-44,276,273,1,266,4,,A,23040000,2/26/2010,15000000,new york,newark,new york,NJ,usa,NA,No,68,112,133928.57
Canary,Assurance,Built Environment,internet of things|mobile|physical security|security,B2C,http://canary.is,,Smart Home Security for Everyone,Indiegogo|Cota Capital|Walden Riverwood Ventures|Two Sigma Ventures|Flextronics|Khosla Ventures|Western Technology Investment|Khosla Ventures|Bobby Yazdani|Two Sigma Ventures|Two Sigma Ventures|Brooklyn Bridge Ventures|Brooklyn Bridge Ventures,769,17,581,36,https://mattermark.com/app/data/160794/canary,No,,,,android|cloud computing|collisionconf2015|internet of things|pioneer250,87,83,4,5,63,24,38,302491,298459,1,284892,6,,,,,,,6858,,,,,101,142,-29,306,193,59,18968,18934,0,18449,3,161,141,14,551,318,73,609,595,2,536,14,1/1/2012,B,41200000,6/1/2015,30000000,new york,new york,new york,NY,usa,NA,No,5,55,545454.55
Carrot.mx,Assurance,Resources,cleantech,B2C,http://carrot.mx,,Mexico's First Car Sharing Company,ALL VP|Venture Institute,6,,6,37,https://mattermark.com/app/data/101942/carrot-mx,No,,,,sustainability,11,11,0,0,11,0,0,34700,40989,-15,54002,-36,,,,,,,9040,,,,,32,73,-56,196,229,-14,127897,127736,0,126248,1,590,740,-20,634,505,26,106,99,7,78,36,1/1/2012,Pre Series A,0,,,mexico city,mexico city,,,mex,NA,No,,,
Carvoyant,Assurance,Built Environment,automotive|e-commerce|internet of things|mobile,B2B|B2C,http://carvoyant.com,,The Cloud for Your Car,SK Ventures,48,,46,7,https://mattermark.com/app/data/75620/,No,,,,big data|cloud computing|consumer goods|internet of things|location based services (lbs)|paas,5,5,0,0,5,0,0,513,481,7,372,38,,,,,,,357,,,,,0,0,,4,7,-43,266,265,0,265,0,1,1,0,1,1,0,59,58,2,57,4,1/1/2011,Pre Series A,0,,,tampa,tampa,tampa,FL,usa,NA,No,,,
Chai Energy,Assurance,Resources,energy|internet of things,B2C,http://mychai.co,,Chai will tell you exactly how and where you're spending your hard-earned energy dollars in your home. Sign up today!,,0,,0,0,https://mattermark.com/app/data/155510/chai-energy,No,,,,,,,,,,,,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,,,
Changing Environments,Assurance,Resources,Connectivity,B2G,http://www.changing-environments.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chariot,Safety,Mobility & Logistics,transportation,B2C,http://chariotsf.com,,Chariot offers a commuter shuttle service with routes that are faster than the San Francisco Muni and more affordable than taxi and Uber.,Y Combinator|Tyson Hendricksen|Joel Englander|Winklevoss Capital|Scrum Ventures|Coyote Ridge Ventures|Maven Ventures|MLB Major League Baseball Ventures|Wilson Sonsini Goodrich & Rosati|Sandy Kory|China Rock Capital|Semil Shah|SoftTech VC|Tumml|YC Winter 2015,250,5,193,0,https://mattermark.com/app/data/263504/,No,,,,verifiedga,15,16,-1,-6,7,8,114,4,4,0,2,100,,,,,,,1240,,,,,47,58,-19,182,235,-23,,,,,,,,,,,,29,28,4,23,26,1/1/2014,Pre Series A,3000000,4/23/2015,3000000,bay area,san francisco,bay area,CA,usa,NA,No,6,22,136363.64
CINTEP,Assurance,Resources,Water,B2C,http://www.recyclingshower.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citymapper,Safety,Mobility & Logistics,mobile|transportation,B2C,http://citymapper.com,,Citymapper Limited develop mobile applications. They design applications for both the Android and iOS users. Bus Mapper Pro is the ultimate,Robin Klein|Index Ventures|Greylock Partners|Bill Warner|Connect Ventures|Connect Ventures,458,17,412,-1603,https://mattermark.com/app/data/124162/citymapper,No,,,,location based services (lbs)|travel,30,29,1,3,25,5,20,446532,442719,1,426173,5,22921,27230,-16,21150,8,0,10616,,,,,94,165,-43,425,36,1081,,,,,,,,,,,,879,858,2,811,8,,A,10000000,4/17/2014,10000000,london,london,london,,gbr,EU,Yes,18,165,60606.06
CItyMart,Core,Government,government,B2G,http://citymart.com,,"Citymart - inspiring solutions to transform cities. Citymart helps cities 
deliver impact by strengthening their innovation capacity and sharing 
inspiring solutions and methods to transform their communities.",,-17,-2,-17,13,https://mattermark.com/app/data/217662/citymart,No,,,,,17,18,-1,-6,16,1,6,116,172,-33,249,-53,,,,,,,2772,,,,,59,2,2850,68,146,-53,1062,1057,0,1033,3,8,11,-27,5,5,0,751,743,1,720,4,1/1/2011,Pre Series A,1000000,11/6/2013,1000000,barcelona,barcelona,,,esp,EU,No,24,31,32258.06
CityTrackerX,Core,Government,Management|Citizen Engagement,B2G,http://www.citytrackerx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Insight,Core,Government,analytics|government,B2G,http://civicinsight.com,,We boost economic development by helping governments deliver better building-related services to citizens and real-estate professionals.,Code for America Accelerator|Code for America Incubator,56,,56,20,https://mattermark.com/app/data/212826/,No,,,,data mining|data visualization,4,4,0,0,4,0,0,169,182,-7,134,26,,,,,,,973,,,,,6,0,,7,31,-77,,,,,,,,,,,,35,34,3,32,9,,Pre Series A,0,,,bay area,san francisco,bay area,CA,usa,NA,No,,,
Civico,Core,Government,consumer services|Citizen Engagement,B2G,http://civico.com,,,,772,30,772,616,https://mattermark.com/app/data/280052/,No,,,,,38,39,-1,-3,25,13,52,351065,337600,4,321826,9,,,,,,,5318,,,,,108,87,24,495,263,88,91086,90548,1,87927,4,5945,6051,-2,6951,6824,2,2507,2155,16,1053,138,1/1/2013,Pre Series A,2700000,12/10/2013,1000000,bogotá,bogotá,,,col,SA,No,23,250,4000
Civil Maps,Core,Government,Urban Planning,,https://civilmaps.com/,,Civil Maps is building a cloud based artificial intellegence platform to map objects in the real world using machine vision algorithms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarity,,,Air Quality,,http://joinclarity.io,,Clarity Movememt Co. is creating the world's highest density air pollution map by introducing the world's most versitile PM 2.5 Sensors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClearPath,,,advertising|mobile,B2B|B2C,http://myfastestpath.com,,,,7,,7,-146,https://mattermark.com/app/data/181400/clearpath,No,,,,mobile advertising,,,,,,,,2,2,0,3,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,los angeles,,los angeles,CA,usa,NA,No,,,
ClickBus,Safety,Mobility & Logistics,passenger transport|Ride Sharing,B2C|Marketplace,http://clickbus.com.br,,"ClickBus is the leading online bus ticket platform selling in Brazil, Mexico, Colombia and Turkey.",HV Holtzbrinck Ventures|Tengelmann Ventures|Latin America Internet Holding (LIH)|Rocket Internet|Latin America Internet Holding (LIH),360,24,302,-4,https://mattermark.com/app/data/292805/,No,,,,,69,67,2,3,89,-20,-22,520713,526225,-1,534848,-3,,,,,,,996,,,,,,,,,,,206172,206144,0,206359,0,961,959,0,964,865,11,607,597,2,559,9,1/1/2013,B,12150000,8/20/2014,10000000,são paulo,são paulo,,,bra,SA,No,14,457,21881.84
Cliqk,Assurance,Resources,Energy Efficiency|Security|IOT,B2C,https://cliqk.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compology,Assurance,Resources,e-commerce|enterprise software|hardware|internet of things|waste,B2B,http://compology.com,,"Compology, Data-Driven Routing, Powerful Analytics, Flexible Solutions and Waste Ecosystem Management",Lemnos Labs|LaunchCapital|Idea Bulb Ventures,51,,36,0,https://mattermark.com/app/data/161529/compology,No,,,,industrial|internet of things|trash|waste,10,8,2,25,7,3,43,4,4,0,3,33,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,43,42,2,43,0,1/1/2012,Pre Series A,0,,,bay area,san francisco,bay area,CA,usa,NA,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create,Assurance,Built Environment,finance|government|real estate,B2B,http://create.io,,"Create is a real estate information system packed with property data, 3D maps, and tools that empower instant investment decision making.",,154,1,131,0,https://mattermark.com/app/data/10376437/,No,,,,architecture,15,15,0,0,,,,1088,1227,-11,1062,2,,,,,,,643,,,,,,,,,,,259,257,1,257,1,5,4,25,1,33,-97,,,,,,1/1/2011,Pre Series A,2200000,6/11/2015,2200000,bay area,san francisco,bay area,CA,usa,NA,No,4,3,733333.33
Curb,Assurance,Resources,cleantech|energy|internet of things,B2C,http://energycurb.com,,"Curb built an energy engagement platform to help people better understand their home energy consumption, costs, and opportunities to reduce waste.",,158,0,158,13,https://mattermark.com/app/data/221636/curb,No,,,,clean energy|internet of things|sustainability,7,6,1,17,3,4,133,221,311,-29,329,-33,,,,,,,1398,,,,,12,0,,35,119,-71,653,644,1,639,2,3,3,0,15,10,50,49,48,2,45,9,5/13/2012,Pre Series A,1080000,10/5/2015,1080000,austin,austin,,TX,usa,NA,No,1,,0
D.light Design,Assurance,Resources,cleantech|energy|solar power,B2B|B2C,http://dlightdesign.com,,d.light: a global solar energy company delivering affordable solar home and power solutions for 2 billion people without access to reliable energy,Draper Fisher Jurvetson (DFJ)|Garage Technology Ventures|Acumen |Omidyar Network|Gray Matters Capital|Garage Technology Ventures|Draper Fisher Jurvetson (DFJ)|Acumen |Nexus Venture Partners|Omidyar Network|DFJ Frontier,196,62,43,9,https://mattermark.com/app/data/18706/,No,,,,solar|sustainability,152,155,-3,-2,155,-3,-2,25,166,-85,1167,-98,,,,,,,4608,,,,,11,27,-59,55,79,-30,6595,6579,0,6506,1,41,42,-2,54,55,-2,1775,1757,1,1692,5,1/1/2007,C,22500000,2/27/2014,11000000,grand cayman,grand cayman,,CA,usa,NA,No,20,910,12087.91
Dash,Assurance,Built Environment,automotive|e-commerce|finance|internet of things|mobile,B2B|B2C,http://dash.by,,"Dash makes any car a 'smart car'. Our app, for Android and iOS, connects to your car with a low-cost, easy to install device, called a ODB2. We use the information on your driving habits to make the roads smarter, safer, greener, more affordable and more social.",Slow Ventures|Techstars|Urban.Us|Techstars|Slow Ventures,92,2,85,-3,https://mattermark.com/app/data/179786/,No,,,,big data|consumer goods|quantified self,8,7,1,14,7,1,14,20058,21199,-5,18685,7,,426,,426,,0,3515,,,,,46,43,7,288,377,-24,61540,61632,0,61784,0,36,47,-23,30,1832,-98,56,55,2,50,12,1/1/2012,Pre Series A,1000000,12/31/2013,1000000,new york,new york,new york,NY,usa,NA,Yes,22,12,83333.33
Dashride,Safety,Mobility & Logistics,transportation,B2B|B2C,http://dashride.com,,Dashride is a cloud-based mobile dispatching platform that simplifies ride management operations for the delivery industry.,,129,3,129,19,https://mattermark.com/app/data/229741/dashride,No,,,,,7,8,-1,-13,8,-1,-13,3238,3337,-3,3231,0,,,,,,,232,,,,,0,1,-100,1,4,-75,130,130,0,124,5,3,,,2,2,0,16,16,0,15,7,1/1/2013,Pre Series A,755000,9/15/2014,715000,storrs mansfield,storrs mansfield,,CT,usa,NA,No,13,40,17875
Digital Lumens,Assurance,Resources,energy,B2B,http://digitallumens.com,,Digital Lumens Intelligent LED High Bay Lighting Systems for commercial and industrial lighting. Up to 90% energy savings.,Stata Venture Partners|Black Coral Capital|Flybridge Capital Partners|Stata Venture Partners|Flybridge Capital Partners|Black Coral Capital|Flybridge Capital Partners|Flybridge Capital Partners|Stata Venture Partners|Aster Capital|Black Coral Capital|Flybridge Capital Partners|Goldman Sachs|Stata Venture Partners|Nokia Growth Partners,258,27,155,8,https://mattermark.com/app/data/30353/,No,,,,sustainability,118,121,-3,-2,105,13,12,2801,2189,28,2244,25,,,,,,,1989,,,,,3,11,-73,22,77,-71,286,283,1,276,4,33,81,-59,5,21,-76,1213,1192,2,1126,8,1/1/2008,C,49300645,10/30/2014,23000000,boston,boston,boston,MA,usa,NA,No,12,202,113861.39
Dividend Solar,Assurance,Resources,banking|cleantech|finance|solar power,B2B,http://dividendsolar.com,,"Dividend Solar offers homeowners a better way to go solar. With our direct lending platform, we make solar an investment-not just another monthly expense",,140,16,140,13,https://mattermark.com/app/data/10022261/,No,,,,,25,21,4,19,18,7,39,1766,1598,11,1429,24,,,,,,,1110,,,,,10,2,400,13,0,,871,870,0,853,2,16,16,0,33,26,27,182,177,3,167,9,,Pre Series A,1500000,1/1/2014,0,bay area,san francisco,bay area,CA,usa,NA,No,22,103,0
DoorDash,,,consumer services|food & beverages|mobile|Logistics,B2C|Marketplace,http://doordash.com,,DoorDash is an on-demand delivery service that connects customers with local businesses. The marketplace allows people to purchase meals and other goods from local merchants and have them delivered in less than 45 minutes.,Kleiner Perkins Caufield & Byers|Keith Rabois|Saar Gur|David Lee|Paul Buchheit|Andy Rachleff|Russell Siegelman|Pejman Mar Ventures|Y Combinator|Streamlined Ventures|Semil Shah|Haystack Fund|Khosla Ventures|Charles River Ventures (CRV)|Pejman Mar Ventures|Ted Zagat|Sequoia Capital|YC Summer 2013,2362,194,1012,79,https://mattermark.com/app/data/161342/doordash,No,,,,delivery|local|logistics|pioneer250|small & medium sized business,326,291,35,12,140,186,133,778265,750973,4,682897,14,,,,,,,5011,,,,,81,73,11,235,173,36,36590,36236,1,35653,3,290,282,3,193,313,-38,691,664,4,567,22,1/1/2013,B,54700000,3/17/2015,35000000,bay area,palo alto,bay area,CA,usa,NA,Yes,7,548,63868.61
DoubleMap,Safety,Mobility & Logistics,transportation,B2B,http://doublemap.com,,DoubleMap is the provider of an innovative Automatic Vehicle Location (AVL) platform for university and public transit systems.,,176,9,176,0,https://mattermark.com/app/data/168315/doublemap,No,,,,android,21,23,-2,-9,27,-6,-22,40141,36850,9,33333,20,4116,4161,-1,4886,-16,0,,,,,,0,0,,0,0,,220,219,0,217,1,3,3,0,2,2,0,216,213,1,203,6,1/1/2008,Pre Series A,40000,11/20/2013,40000,indianapolis,indianapolis,indianapolis,IN,usa,NA,Yes,23,222,180.18
DriveSafe for Glass,Assurance,Built Environment,automotive|hardware|internet of things|mobile|wearables,B2C,http://drivesafeforglass.com,,An app exclusively for Google Glass to help you be a safer driver.,,7,,7,0,https://mattermark.com/app/data/230534/,No,,,,,,,,,,,,4,4,0,4,0,,,,,,,92,,,,,3,0,,3,0,,74,73,1,73,1,1,,,1,,,,,,,,,No Known Funding,,,,,,,,,,No,,,
Drivr,Safety,Mobility & Logistics,enterprise software|marketing|passenger transport|transportation,B2B|B2C,http://drivr.com,,"Drivr is an on-demand taxi and chauffeur service that offers premium, high-end vehicles for rent. The product is a complete suite which includes dispatch systems, chauffeur and end-user apps, a corporate platform and marketing tools available for taxi and chauffeur companies.",The Danish Growth Fund|Tommy Ahlers|Claus Moseholm,106,0,106,61,https://mattermark.com/app/data/218740/,No,,,,travel,31,30,1,3,24,7,29,2206,2218,-1,3298,-33,,,,,,,411,,,,,0,0,,1,0,,7893,7892,0,7561,4,63,175,-64,129,76,70,323,320,1,302,7,1/1/2010,A,5510000,10/16/2015,3410000,copenhagen,copenhagen,,,dnk,EU,No,0,,0
Drivy,Assurance,Built Environment,automotive|hospitality|transportation,B2C,http://drivy.com,,"Ndeg1 en France de la location de voiture entre particuliers, assurance comprise. Pour louer sa propre voiture, ou trouver une voiture a louer des 15EUR/jour.",Index Ventures|Alven Capital|Bpifrance|Via-ID|Index Ventures|Alven Capital,560,17,434,60,https://mattermark.com/app/data/37672/,No,,,,collaborative consumption,54,53,1,2,37,17,46,455476,460720,-1,446998,2,,,,,,,4299,,,,,143,47,204,247,397,-38,29758,29490,1,29036,2,191,191,0,227,196,16,1040,1019,2,951,9,1/1/2010,B,16900000,4/1/2015,8600000,paris,paris,,,fra,EU,No,7,71,121126.76
Dropcam,Assurance,Built Environment,consumer electronics|hardware|internet of things|security,B2C,http://dropcam.com,,"Dropcam makes it easy to check in on your home, baby, pets or business from anywhere. Get intelligent alerts. Review past footage with optional Cloud Recording.",Kapor Capital|Menlo Ventures|Accel Partners|Bay Partners|Felicis Ventures|Mitchell Kapor|Accel Partners|Bradley Horowitz|Salil Deshpande|David Cowan|Ben Narasin|Institutional Venture Partners (IVP)|Menlo Ventures|Kleiner Perkins Caufield & Byers|Accel Partners|Felicis Ventures|Mitchell Kapor|David Cowan|Ben Narasin|Salil Deshpande,433,14,413,120,https://mattermark.com/app/data/26279/dropcam,No,,,,consumer electronics|video,36,35,1,3,45,-9,-20,969566,1051731,-8,1252152,-23,,36,,106,,0,22640,,,,,360,147,145,758,624,21,377955,375116,1,365765,3,10239,10528,-3,12748,8811,45,1696,1671,1,1595,6,1/1/2009,Exited (acquired),47800000,7/31/2013,30000000,bay area,san francisco,bay area,CA,usa,NA,Yes,27,589,50933.79
dropcountr,Assurance,Built Environment,enterprise software|internet of things|mobile,B2B|B2C,http://dropcountr.com,,Dropcountr is a cleanweb solution that analyzes and visualizes big data generated by smart water meters.,,114,,114,9,https://mattermark.com/app/data/144948/dropcountr,No,,,,big data|it,5,5,0,0,4,1,25,605,529,14,730,-17,,1134,,1134,,0,782,,,,,4,8,-50,22,24,-8,382,381,0,380,1,2,1,100,1,3,-67,28,28,0,28,0,,No Known Funding,,,,bay area,redwood city,bay area,CA,usa,NA,Yes,,,
e-Chromic Technologies Inc.,Assurance,Resources,cleantech|energy|internet of things|solar power,B2B,http://echromic.com,,Introducing energy efficient smart windows. e-Chromic electrochromic window film can dynamically control window reflectivity and save energy. Learn more!,,-6,,-6,19,https://mattermark.com/app/data/242157/,No,,,,internet of things|sustainability,,,,,,,,3,3,0,2,50,,,,,,,72,,,,,0,0,,0,0,,27,27,0,27,0,,,,,,,,,,,,,Pre Series A,600000,2/19/2014,600000,boulder,boulder,boulder,CO,usa,NA,No,20,,0
